team,seed,region,record,from_first_four,wins,losses,conference,bart_rank,bart_adj_oe,bart_adj_de,bart_barthag,bart_em,hasla_rank,hasla_off,hasla_def,hasla_em,hasla_mom,hasla_sos,recent_form_raw,warrennolan_elo_rank,warrennolan_elo,warrennolan_net_rank,warrennolan_net_score,deepmetric_rank,deepmetric_elo,deepmetric_net,deepmetric_off,deepmetric_def,deepmetric_em,prg_average_rank,prg_score,bart_em_z,hasla_em_z,deepmetric_net_z,warrennolan_elo_z,prg_score_z,recent_form_z,composite_strength
Duke,1,East,32-2,False,32,2,ACC,1,128.2,90.8,0.9813,37.39999999999999,1.0,129.913862,88.76948,41.14438199999999,0.836498,0.732789,1.0,1,1909.68,1,-1,1,2102.0,41.6,129.2,87.6,41.599999999999994,1.4,-1.4,1.7221541689055115,1.8624222833829258,1.8734650027872493,2.18900970834721,0.9220582000954739,1.1233661485653499,1.6963833700072395
UConn,2,East,29-5,False,29,5,Big East,9,123.1,95.0,0.9518,28.099999999999994,12.0,124.62574,95.550345,29.075395,-2.400773,0.714609,0.6,11,1743.27,10,-10,16,1879.0,28.7,122.7,94.1,28.60000000000001,9.8,-9.8,0.9528052734436259,0.8912556654752924,0.8621397717441877,1.056686809553514,0.8053192064137348,-0.530821366904506,0.772299082980078
Michigan St.,3,East,25-7,False,25,7,Big Ten,13,122.9,96.2,0.9437,26.700000000000003,9.0,124.657589,94.300807,30.356781999999995,-0.850645,0.745192,0.6,13,1705.11,11,-11,12,1823.0,29.0,122.5,93.5,29.0,12.0,-12.0,0.8369893106859233,0.9943662479144653,0.8856589631637938,0.7970302876019033,0.7747447080685173,-0.530821366904506,0.7325721635313532
Kansas,4,East,23-10,False,23,10,Big 12,22,117.8,94.4,0.9279,23.39999999999999,25.0,119.078569,94.001273,25.077296000000004,-4.287902,0.780719,0.4,15,1686.32,21,-21,21,1765.0,24.8,118.0,93.2,24.799999999999997,20.8,-20.8,0.5639945413284789,0.5695368431839196,0.5563902832893088,0.6691753073222717,0.6524467146876477,-1.3579151246394336,0.39312102394800597
St. John's,5,East,28-6,False,28,6,Big East,15,119.8,94.1,0.9415,25.700000000000003,19.0,121.534973,94.622338,26.912634999999995,2.761437,0.723578,1.0,4,1805.23,16,-16,15,1975.0,26.5,120.8,94.3,26.5,14.2,-14.2,0.7542636230018496,0.7172228063342627,0.6896657013337432,1.4782884369151956,0.7441702097232998,1.1233661485653499,0.8572709063328178
Louisville,6,East,23-10,False,23,10,ACC,17,124.0,98.2,0.9364,25.799999999999997,21.0,124.101493,97.700003,26.40149000000001,-4.136144,0.691642,0.6,28,1629.11,17,-17,14,1788.0,28.1,124.6,96.4,28.19999999999999,17.8,-17.8,0.7625361917702564,0.6760920170716358,0.8151013889049757,0.2798946568806673,0.694139212431126,-0.530821366904506,0.5588877708326694
UCLA,7,East,23-11,False,23,11,Big Ten,24,124.5,101.8,0.9106,22.700000000000003,27.0,126.627486,102.236329,24.391157000000007,6.181637,0.711781,0.8,21,1663.38,30,-30,28,1772.0,22.2,123.8,101.6,22.200000000000003,26.0,-26.0,0.5060865599496283,0.5143246458350846,0.35255729098605604,0.513081999838784,0.5801797185989519,0.2962723908304222,0.46753102217069614
Ohio St.,8,East,21-12,False,21,12,Big Ten,23,125.2,101.6,0.9171,23.60000000000001,20.0,126.580879,101.162207,25.418672,5.514209,0.714785,0.8,27,1634.9,29,-29,22,1763.0,23.4,125.5,102.1,23.400000000000006,25.4,-25.4,0.5805396788652951,0.597006669388458,0.44663405666448025,0.31929222664219437,0.5885182181476476,0.2962723908304222,0.5010808356422203
TCU,9,East,22-11,False,22,11,Big 12,49,114.9,99.6,0.8366,15.300000000000011,46.0,117.129922,99.650354,17.479568,3.583099,0.655927,0.8,26,1638.72,39,-39,35,1778.0,17.3,116.6,99.3,17.299999999999997,44.2,-44.2,-0.10608352891251686,-0.041836738173168145,-0.03158950220084313,0.34528509650212974,0.32724523228851676,0.2962723908304222,0.05919239300239599
UCF,10,East,21-11,False,21,11,Big 12,58,120.0,105.7,0.8117,14.299999999999997,51.0,119.963575,104.00802,15.955555000000004,-1.158033,0.692909,0.2,49,1545.42,51,-51,62,1627.0,14.0,120.4,106.4,14.0,53.0,-53.0,-0.1888092165965918,-0.16447093695532472,-0.29030060781651,-0.2895669343701242,0.20494723890764713,-2.185008882374362,-0.37405849265527535
