year,round,region,slot,team1,seed1,score1,team2,seed2,score2,winner
2008,R64,East,1,UNC,1,113.0,Mount St. Mary's,16,74.0,UNC
2008,R64,East,2,Indiana,8,72.0,Arkansas,9,86.0,Arkansas
2008,R64,East,3,Notre Dame,5,68.0,George Mason,12,50.0,Notre Dame
2008,R64,East,4,Washington State,4,71.0,Winthrop,13,40.0,Washington State
2008,R64,East,5,Oklahoma,6,72.0,Saint Joseph's,11,64.0,Oklahoma
2008,R64,East,6,Louisville,3,79.0,Boise State,14,61.0,Louisville
2008,R64,East,7,Butler,7,81.0,South Alabama,10,61.0,Butler
2008,R64,East,8,Tennessee,2,72.0,American,15,57.0,Tennessee
2008,R32,East,1,UNC,1,108.0,Arkansas,9,77.0,UNC
2008,R32,East,2,Notre Dame,5,41.0,Washington State,4,61.0,Washington State
2008,R32,East,3,Oklahoma,6,48.0,Louisville,3,78.0,Louisville
2008,R32,East,4,Butler,7,71.0,Tennessee,2,76.0,Tennessee
2008,S16,East,1,UNC,1,68.0,Washington State,4,47.0,UNC
2008,S16,East,2,Louisville,3,79.0,Tennessee,2,60.0,Louisville
2008,E8,East,1,UNC,1,83.0,Louisville,3,73.0,UNC
2008,R64,Midwest,1,Kansas,1,85.0,Portland State,16,61.0,Kansas
2008,R64,Midwest,2,UNLV,8,71.0,Kent State,9,58.0,UNLV
2008,R64,Midwest,3,Clemson,5,69.0,Villanova,12,75.0,Villanova
2008,R64,Midwest,4,Vanderbilt,4,62.0,Siena,13,83.0,Siena
2008,R64,Midwest,5,USC,6,67.0,Kansas State,11,80.0,Kansas State
2008,R64,Midwest,6,Wisconsin,3,71.0,Cal State Fullerton,14,56.0,Wisconsin
2008,R64,Midwest,7,Gonzaga,7,76.0,Davidson,10,82.0,Davidson
2008,R64,Midwest,8,Georgetown,2,66.0,UMBC,15,47.0,Georgetown
2008,R32,Midwest,1,Kansas,1,75.0,UNLV,8,56.0,Kansas
2008,R32,Midwest,2,Villanova,12,84.0,Siena,13,72.0,Villanova
2008,R32,Midwest,3,Kansas State,11,55.0,Wisconsin,3,72.0,Wisconsin
2008,R32,Midwest,4,Davidson,10,74.0,Georgetown,2,70.0,Davidson
2008,S16,Midwest,1,Kansas,1,72.0,Villanova,12,57.0,Kansas
2008,S16,Midwest,2,Wisconsin,3,56.0,Davidson,10,73.0,Davidson
2008,E8,Midwest,1,Kansas,1,59.0,Davidson,10,57.0,Kansas
2008,R64,South,1,Memphis,1,87.0,UT Arlington,16,63.0,Memphis
2008,R64,South,2,Mississippi State,8,76.0,Oregon,9,69.0,Mississippi State
2008,R64,South,3,Michigan State,5,72.0,Temple,12,61.0,Michigan State
2008,R64,South,4,Pitt,4,82.0,Oral Roberts,13,63.0,Pitt
2008,R64,South,5,Marquette,6,74.0,Kentucky,11,66.0,Marquette
2008,R64,South,6,Stanford,3,77.0,Cornell,14,53.0,Stanford
2008,R64,South,7,Miami (FL),7,78.0,Saint Mary's,10,64.0,Miami (FL)
2008,R64,South,8,Texas,2,74.0,Austin Peay,15,54.0,Texas
2008,R32,South,1,Memphis,1,77.0,Mississippi State,8,74.0,Memphis
2008,R32,South,2,Michigan State,5,65.0,Pitt,4,54.0,Michigan State
2008,R32,South,3,Marquette,6,81.0,Stanford,3,82.0,Stanford
2008,R32,South,4,Miami (FL),7,72.0,Texas,2,75.0,Texas
2008,S16,South,1,Memphis,1,92.0,Michigan State,5,74.0,Memphis
2008,S16,South,2,Stanford,3,62.0,Texas,2,82.0,Texas
2008,E8,South,1,Memphis,1,85.0,Texas,2,67.0,Memphis
2008,R64,West,1,UCLA,1,70.0,Mississippi Valley State,16,29.0,UCLA
2008,R64,West,2,BYU,8,62.0,Texas A&M,9,67.0,Texas A&M
2008,R64,West,3,Drake,5,99.0,Western Kentucky,12,101.0,Western Kentucky
2008,R64,West,4,UConn,4,69.0,San Diego,13,70.0,San Diego
2008,R64,West,5,Purdue,6,90.0,Baylor,11,79.0,Purdue
2008,R64,West,6,Xavier,3,73.0,Georgia,14,61.0,Xavier
2008,R64,West,7,West Virginia,7,75.0,Arizona,10,65.0,West Virginia
2008,R64,West,8,Duke,2,71.0,Belmont,15,70.0,Duke
2008,R32,West,1,UCLA,1,51.0,Texas A&M,9,49.0,UCLA
2008,R32,West,2,Western Kentucky,12,72.0,San Diego,13,63.0,Western Kentucky
2008,R32,West,3,Purdue,6,78.0,Xavier,3,85.0,Xavier
2008,R32,West,4,West Virginia,7,73.0,Duke,2,67.0,West Virginia
2008,S16,West,1,UCLA,1,88.0,Western Kentucky,12,78.0,UCLA
2008,S16,West,2,Xavier,3,79.0,West Virginia,7,75.0,Xavier
2008,E8,West,1,UCLA,1,76.0,Xavier,3,57.0,UCLA
2008,F4,,1,UNC,1,66.0,Kansas,1,84.0,Kansas
2008,F4,,2,Memphis,1,78.0,UCLA,1,63.0,Memphis
2008,NCG,,1,Kansas,1,75.0,Memphis,1,68.0,Kansas
2009,R64,East,1,Pitt,1,72.0,ETSU,16,62.0,Pitt
2009,R64,East,2,Oklahoma State,8,77.0,Tennessee,9,75.0,Oklahoma State
2009,R64,East,3,Florida State,5,59.0,Wisconsin,12,61.0,Wisconsin
2009,R64,East,4,Xavier,4,77.0,Portland State,13,59.0,Xavier
2009,R64,East,5,UCLA,6,65.0,VCU,11,64.0,UCLA
2009,R64,East,6,Villanova,3,80.0,American,14,67.0,Villanova
2009,R64,East,7,Texas,7,76.0,Minnesota,10,62.0,Texas
2009,R64,East,8,Duke,2,86.0,Binghamton,15,62.0,Duke
2009,R32,East,1,Pitt,1,84.0,Oklahoma State,8,76.0,Pitt
2009,R32,East,2,Wisconsin,12,49.0,Xavier,4,60.0,Xavier
2009,R32,East,3,UCLA,6,69.0,Villanova,3,89.0,Villanova
2009,R32,East,4,Texas,7,69.0,Duke,2,74.0,Duke
2009,S16,East,1,Pitt,1,60.0,Xavier,4,55.0,Pitt
2009,S16,East,2,Villanova,3,77.0,Duke,2,54.0,Villanova
2009,E8,East,1,Pitt,1,76.0,Villanova,3,78.0,Villanova
2009,R64,Midwest,1,Louisville,1,74.0,Morehead State,16,54.0,Louisville
2009,R64,Midwest,2,Ohio State,8,72.0,Siena,9,74.0,Siena
2009,R64,Midwest,3,Utah,5,71.0,Arizona,12,84.0,Arizona
2009,R64,Midwest,4,Wake Forest,4,69.0,Cleveland State,13,84.0,Cleveland State
2009,R64,Midwest,5,West Virginia,6,60.0,Dayton,11,68.0,Dayton
2009,R64,Midwest,6,Kansas,3,84.0,North Dakota State,14,74.0,Kansas
2009,R64,Midwest,7,Boston College,7,55.0,USC,10,72.0,USC
2009,R64,Midwest,8,Michigan State,2,77.0,Robert Morris,15,62.0,Michigan State
2009,R32,Midwest,1,Louisville,1,79.0,Siena,9,72.0,Louisville
2009,R32,Midwest,2,Arizona,12,71.0,Cleveland State,13,57.0,Arizona
2009,R32,Midwest,3,Dayton,11,43.0,Kansas,3,60.0,Kansas
2009,R32,Midwest,4,USC,10,69.0,Michigan State,2,74.0,Michigan State
2009,S16,Midwest,1,Louisville,1,103.0,Arizona,12,64.0,Louisville
2009,S16,Midwest,2,Kansas,3,62.0,Michigan State,2,67.0,Michigan State
2009,E8,Midwest,1,Louisville,1,52.0,Michigan State,2,64.0,Michigan State
2009,R64,South,1,UNC,1,101.0,Radford,16,58.0,UNC
2009,R64,South,2,LSU,8,75.0,Butler,9,71.0,LSU
2009,R64,South,3,Illinois,5,72.0,Western Kentucky,12,76.0,Western Kentucky
2009,R64,South,4,Gonzaga,4,77.0,Akron,13,64.0,Gonzaga
2009,R64,South,5,Arizona State,6,66.0,Temple,11,57.0,Arizona State
2009,R64,South,6,Syracuse,3,59.0,Stephen F. Austin,14,44.0,Syracuse
2009,R64,South,7,Clemson,7,59.0,Michigan,10,62.0,Michigan
2009,R64,South,8,Oklahoma,2,82.0,Morgan State,15,54.0,Oklahoma
2009,R32,South,1,UNC,1,84.0,LSU,8,70.0,UNC
2009,R32,South,2,Western Kentucky,12,81.0,Gonzaga,4,83.0,Gonzaga
