team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,25.0,11.0,0.694,2.25,-2.09,2761.0,2432.0,2022
Air Force,11.0,18.0,0.379,-5.67,1.33,1712.0,1915.0,2022
Akron,24.0,10.0,0.706,0.91,-3.93,2402.0,2130.0,2022
Alabama,19.0,14.0,0.576,14.62,11.59,2623.0,2523.0,2022
Alabama A&M,12.0,18.0,0.4,-14.43,-8.86,1843.0,2010.0,2022
Alabama State,10.0,21.0,0.323,-12.05,-5.45,2160.0,2332.0,2022
Albany (NY),13.0,18.0,0.419,-9.8,-5.77,1917.0,2042.0,2022
Alcorn State,17.0,17.0,0.5,-8.68,-4.12,2262.0,2417.0,2022
American,10.0,22.0,0.313,-15.38,-7.91,2031.0,2270.0,2022
Appalachian State,19.0,15.0,0.559,-1.45,-1.45,2281.0,2146.0,2022
Arizona,33.0,4.0,0.892,22.75,6.84,3107.0,2518.0,2022
Arizona State,14.0,17.0,0.452,7.64,9.48,2027.0,2084.0,2022
Arkansas,28.0,9.0,0.757,16.27,8.62,2810.0,2527.0,2022
Arkansas State,18.0,11.0,0.621,-3.27,-3.5,2055.0,1974.0,2022
Arkansas-Pine Bluff,7.0,24.0,0.226,-18.96,-4.58,2055.0,2426.0,2022
Army,15.0,16.0,0.484,-10.53,-7.53,2183.0,2182.0,2022
Auburn,28.0,6.0,0.824,19.2,8.17,2660.0,2285.0,2022
Austin Peay,12.0,17.0,0.414,-10.02,-3.39,1875.0,2004.0,2022
Ball State,14.0,17.0,0.452,-7.99,-4.56,2304.0,2380.0,2022
Baylor,27.0,7.0,0.794,21.73,8.76,2619.0,2178.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Bellarmine,20.0,13.0,0.606,-3.77,-1.28,2314.0,2217.0,2022
Belmont,25.0,8.0,0.758,6.49,-2.57,2583.0,2264.0,2022
Bethune-Cookman,9.0,21.0,0.3,-14.7,-6.7,1901.0,2086.0,2022
Binghamton,12.0,17.0,0.414,-10.41,-6.18,1962.0,1983.0,2022
Boise State,27.0,8.0,0.771,11.93,5.22,2389.0,2130.0,2022
Boston College,13.0,20.0,0.394,4.03,5.22,2209.0,2248.0,2022
Boston University,22.0,13.0,0.629,-5.07,-7.34,2470.0,2369.0,2022
Bowling Green,13.0,18.0,0.419,-8.82,-4.44,2488.0,2495.0,2022
Bradley,17.0,14.0,0.548,5.79,1.19,2185.0,2021.0,2022
Brigham Young,24.0,11.0,0.686,10.05,5.23,2599.0,2392.0,2022
Brown,13.0,16.0,0.448,-3.32,-1.91,2058.0,2015.0,2022
Bryant,22.0,10.0,0.688,-4.8,-7.41,2497.0,2348.0,2022
Bucknell,9.0,23.0,0.281,-14.62,-6.37,2277.0,2541.0,2022
Buffalo,19.0,11.0,0.633,1.9,-3.21,2398.0,2168.0,2022
Butler,14.0,19.0,0.424,4.45,9.16,2107.0,2209.0,2022
Cal Poly,7.0,21.0,0.25,-10.6,-3.3,1721.0,1885.0,2022
Cal State Bakersfield,9.0,19.0,0.321,-7.57,-2.01,1816.0,1857.0,2022
Cal State Fullerton,21.0,11.0,0.656,-0.04,-2.28,2239.0,2129.0,2022
Cal State Northridge,7.0,23.0,0.233,-12.02,-1.41,1847.0,2137.0,2022
California,12.0,20.0,0.375,3.96,6.96,2018.0,2114.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
California Baptist,18.0,16.0,0.529,-3.53,-3.34,2402.0,2284.0,2022
Campbell,16.0,13.0,0.552,-4.84,-5.76,1919.0,1798.0,2022
Canisius,11.0,21.0,0.344,-7.48,-2.25,2192.0,2288.0,2022
Central Arkansas,11.0,20.0,0.355,-13.83,-1.7,2269.0,2515.0,2022
Central Connecticut State,8.0,24.0,0.25,-17.43,-7.09,1977.0,2308.0,2022
Central Michigan,7.0,23.0,0.233,-12.56,-1.52,1978.0,2309.0,2022
Charleston Southern,6.0,25.0,0.194,-17.56,-4.21,2122.0,2356.0,2022
Charlotte,17.0,14.0,0.548,-1.62,-0.42,2171.0,2208.0,2022
Chattanooga,27.0,8.0,0.771,6.12,-0.94,2596.0,2253.0,2022
Chicago State,7.0,25.0,0.219,-14.24,-1.96,1987.0,2380.0,2022
Cincinnati,18.0,15.0,0.545,7.44,4.28,2291.0,2176.0,2022
Clemson,17.0,16.0,0.515,9.59,6.31,2367.0,2259.0,2022
Cleveland State,20.0,11.0,0.645,-1.78,-5.64,2336.0,2168.0,2022
Coastal Carolina,19.0,14.0,0.576,0.66,-2.41,2404.0,2156.0,2022
Colgate,23.0,12.0,0.657,0.98,-6.37,2646.0,2349.0,2022
College of Charleston,17.0,15.0,0.531,0.52,-1.23,2502.0,2446.0,2022
Colorado,21.0,12.0,0.636,9.82,6.15,2345.0,2224.0,2022
Colorado State,25.0,6.0,0.806,11.51,4.77,2275.0,2047.0,2022
Columbia,4.0,22.0,0.154,-17.5,-4.62,1752.0,2049.0,2022
Connecticut,23.0,10.0,0.697,16.4,6.88,2469.0,2155.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Coppin State,9.0,23.0,0.281,-12.78,-5.03,2142.0,2390.0,2022
Cornell,15.0,11.0,0.577,-3.41,-3.45,2059.0,1941.0,2022
Creighton,23.0,12.0,0.657,11.34,8.54,2422.0,2324.0,2022
Dartmouth,9.0,16.0,0.36,-4.12,-2.62,1709.0,1705.0,2022
Davidson,27.0,7.0,0.794,10.43,1.92,2567.0,2244.0,2022
Dayton,24.0,11.0,0.686,10.41,2.41,2423.0,2143.0,2022
Delaware,22.0,13.0,0.629,0.32,-1.82,2568.0,2456.0,2022
Delaware State,2.0,26.0,0.071,-22.63,-7.39,1757.0,2058.0,2022
