team_raw,bart_rank,bart_adj_oe,bart_adj_de,bart_barthag,bart_em,team
Akron,71,117.2,105.4,0.7726,11.799999999999997,Akron
Alabama,18,129.5,102.8,0.9344,26.700000000000003,Alabama
Arizona,3,126.9,91.4,0.9776,35.5,Arizona
Arkansas,19,127.9,101.7,0.9337,26.200000000000003,Arkansas
BYU,33,124.7,104.3,0.8865,20.400000000000006,BYU
Cal Baptist,96,107.5,100.3,0.6889,7.200000000000003,Cal Baptist
Clemson,30,116.6,97.0,0.8923,19.599999999999994,Clemson
Duke,1,128.2,90.8,0.9813,37.39999999999999,Duke
Florida,4,126.1,92.3,0.9732,33.8,Florida
Furman,194,106.9,109.0,0.4442,-2.0999999999999943,Furman
Georgia,37,124.3,104.8,0.8776,19.5,Georgia
Gonzaga,11,120.3,94.0,0.9445,26.299999999999997,Gonzaga
Hawaii,116,106.9,101.8,0.6355,5.1000000000000085,Hawaii
High Point,93,115.7,107.5,0.6991,8.200000000000003,High Point
Hofstra,91,113.2,104.9,0.7049,8.299999999999997,Hofstra
Houston,5,125.4,92.4,0.9709,33.0,Houston
Howard,205,103.5,106.2,0.4246,-2.700000000000003,Howard
Idaho,136,108.8,106.2,0.5703,2.5999999999999943,Idaho
Illinois,6,131.9,98.2,0.9676,33.7,Illinois
Iowa,26,122.1,100.2,0.9069,21.89999999999999,Iowa
Iowa St.,7,123.8,92.6,0.9655,31.200000000000003,Iowa St.
Kansas,22,117.8,94.4,0.9279,23.39999999999999,Kansas
Kennesaw St.,146,110.8,109.5,0.5338,1.2999999999999972,Kennesaw St.
Kentucky,31,119.9,100.0,0.89,19.900000000000006,Kentucky
Lehigh,283,102.6,112.8,0.2517,-10.200000000000003,Lehigh
LIU,235,103.6,109.8,0.3407,-6.200000000000003,Long Island
Louisville,17,124.0,98.2,0.9364,25.799999999999997,Louisville
McNeese St.,73,113.2,102.2,0.7644,11.0,McNeese
Miami FL,35,121.1,101.5,0.8843,19.599999999999994,Miami (FL)
Miami OH,86,116.7,107.6,0.7177,9.100000000000009,Miami (Ohio)
Michigan,2,127.6,91.0,0.9799,36.599999999999994,Michigan
Michigan St.,13,122.9,96.2,0.9437,26.700000000000003,Michigan St.
Missouri,46,119.9,103.0,0.8515,16.900000000000006,Missouri
N.C. State,38,124.1,104.7,0.8763,19.39999999999999,NC State
Nebraska,20,117.2,93.5,0.931,23.700000000000003,Nebraska
North Carolina,27,121.4,100.0,0.903,21.400000000000006,North Carolina
North Dakota St.,114,111.4,106.0,0.6392,5.400000000000006,North Dakota St.
Northern Iowa,69,109.7,98.6,0.7745,11.100000000000009,Northern Iowa
Ohio St.,23,125.2,101.6,0.9171,23.60000000000001,Ohio St.
Penn,147,106.6,105.4,0.5315,1.1999999999999886,Penn
Prairie View A&M,281,101.4,111.4,0.2544,-10.0,Prairie View A&M
Purdue,8,133.3,100.3,0.9636,33.000000000000014,Purdue
Queens,198,114.7,117.1,0.4397,-2.3999999999999915,Queens (N.C.)
SMU,42,123.0,105.0,0.8611,18.0,SMU
Saint Louis,43,119.5,102.2,0.8579,17.299999999999997,Saint Louis
Saint Mary's,25,119.4,97.6,0.9105,21.80000000000001,Saint Mary's
Santa Clara,29,125.0,103.7,0.8952,21.299999999999997,Santa Clara
Siena,186,107.2,108.9,0.4549,-1.7000000000000028,Siena
South Florida,50,116.8,101.4,0.8353,15.399999999999991,South Florida
St. John's,15,119.8,94.1,0.9415,25.700000000000003,St. John's
TCU,49,114.9,99.6,0.8366,15.300000000000011,TCU
Tennessee,16,121.5,95.5,0.9408,26.0,Tennessee
Tennessee St.,218,107.8,111.9,0.3944,-4.1000000000000085,Tennessee St.
Texas,45,124.0,106.4,0.8538,17.599999999999994,Texas
Texas A&M,40,119.9,101.4,0.8726,18.5,Texas A&M
Texas Tech,12,126.3,98.8,0.9439,27.5,Texas Tech
Troy,142,110.7,109.0,0.5437,1.7000000000000028,Troy
UCF,58,120.0,105.7,0.8117,14.299999999999997,UCF
UCLA,24,124.5,101.8,0.9106,22.700000000000003,UCLA
Connecticut,9,123.1,95.0,0.9518,28.099999999999994,UConn
UMBC,184,107.6,109.2,0.456,-1.6000000000000085,UMBC
Utah St.,28,123.0,102.1,0.8953,20.900000000000006,Utah St.
VCU,48,119.3,103.1,0.843,16.200000000000003,VCU
Vanderbilt,10,127.5,99.3,0.9461,28.200000000000003,Vanderbilt
Villanova,36,119.6,100.5,0.8805,19.099999999999994,Villanova
Virginia,14,122.3,95.8,0.9427,26.5,Virginia
Wisconsin,21,127.2,101.6,0.9294,25.60000000000001,Wisconsin
Wright St.,130,112.4,109.0,0.5864,3.4000000000000057,Wright St.
