team_raw,deepmetric_rank,deepmetric_elo,deepmetric_net,deepmetric_off,deepmetric_def,deepmetric_em,team
Akron,61,1852.0,14.1,120.2,106.0,14.200000000000003,Akron
Alabama,19,1796.0,26.8,128.6,101.8,26.799999999999997,Alabama
Arizona,3,2057.0,37.1,126.1,89.0,37.099999999999994,Arizona
Arkansas,11,1913.0,27.1,128.5,101.4,27.099999999999994,Arkansas
BYU,24,1715.0,24.2,125.5,101.2,24.299999999999997,BYU
California Baptist,95,1726.0,5.7,107.6,101.8,5.799999999999997,Cal Baptist
Clemson,31,1742.0,20.2,117.1,96.9,20.19999999999999,Clemson
Duke,1,2102.0,41.6,129.2,87.6,41.599999999999994,Duke
Florida,4,1958.0,34.3,125.5,91.2,34.3,Florida
Furman,175,1586.0,-1.5,107.2,108.8,-1.5999999999999943,Furman
Georgia,34,1727.0,22.5,124.9,102.4,22.5,Georgia
Gonzaga,17,1928.0,32.7,123.3,90.6,32.7,Gonzaga
Hawai'i,100,1656.0,6.8,108.2,101.4,6.799999999999997,Hawaii
High Point,92,1772.0,11.5,118.5,107.0,11.5,High Point
Hofstra,66,1782.0,9.3,114.4,105.1,9.300000000000011,Hofstra
Houston,6,1903.0,33.7,123.6,89.9,33.69999999999999,Houston
Howard,203,1595.0,-3.0,103.7,106.7,-3.0,Howard
Idaho,143,1590.0,2.5,110.0,107.5,2.5,Idaho
Illinois,9,1850.0,35.1,133.3,98.1,35.20000000000002,Illinois
Iowa,32,1671.0,24.4,123.5,99.0,24.5,Iowa
Iowa State,7,1872.0,33.7,125.0,91.4,33.599999999999994,Iowa St.
Kansas,21,1765.0,24.8,118.0,93.2,24.799999999999997,Kansas
Kennesaw State,140,1617.0,1.0,110.7,109.7,1.0,Kennesaw St.
Kentucky,26,1718.0,23.5,121.7,98.2,23.5,Kentucky
Lehigh,262,1510.0,-11.2,101.9,113.0,-11.099999999999994,Lehigh
Long Island University,201,1604.0,-3.7,105.2,109.0,-3.799999999999997,Long Island
Louisville,14,1788.0,28.1,124.6,96.4,28.19999999999999,Louisville
McNeese,53,1828.0,13.3,115.3,102.0,13.299999999999997,McNeese
Miami,29,1819.0,21.2,121.8,100.6,21.200000000000003,Miami (FL)
Miami (OH),81,1829.0,9.8,117.8,108.1,9.700000000000003,Miami (Ohio)
Michigan,2,2030.0,40.4,129.4,89.0,40.400000000000006,Michigan
Michigan State,12,1823.0,29.0,122.5,93.5,29.0,Michigan St.
Missouri,65,1598.0,14.7,119.4,104.8,14.600000000000009,Missouri
NC State,39,1683.0,21.0,124.9,103.9,21.0,NC State
Nebraska,30,1739.0,27.5,119.3,91.8,27.5,Nebraska
North Carolina,18,1789.0,24.0,122.3,98.3,24.0,North Carolina
North Dakota State,117,1678.0,5.1,111.5,106.4,5.099999999999994,North Dakota St.
Northern Iowa,63,1747.0,13.3,110.2,96.9,13.299999999999997,Northern Iowa
Ohio State,22,1763.0,23.4,125.5,102.1,23.400000000000006,Ohio St.
Pennsylvania,110,1679.0,1.3,107.2,106.0,1.2000000000000028,Penn
Prairie View A&M,284,1513.0,-13.1,101.0,114.1,-13.099999999999994,Prairie View A&M
Purdue,5,1924.0,33.0,132.6,99.7,32.89999999999999,Purdue
Queens University,184,1608.0,-2.0,116.1,118.1,-2.0,Queens (N.C.)
SMU,44,1624.0,19.6,123.4,103.7,19.700000000000003,SMU
Saint Louis,36,1761.0,21.9,122.0,100.1,21.900000000000006,Saint Louis
Saint Mary's,23,1881.0,25.5,121.4,96.0,25.400000000000006,Saint Mary's
Santa Clara,38,1803.0,19.6,123.1,103.5,19.599999999999994,Santa Clara
Siena,151,1675.0,-1.7,107.6,109.3,-1.7000000000000028,Siena
South Florida,33,1886.0,18.1,118.6,100.5,18.099999999999994,South Florida
St. John's,15,1975.0,26.5,120.8,94.3,26.5,St. John's
TCU,35,1778.0,17.3,116.6,99.3,17.299999999999997,TCU
Tennessee,25,1740.0,27.0,121.6,94.6,27.0,Tennessee
Tennessee State,163,1717.0,-1.6,108.9,110.5,-1.5999999999999943,Tennessee St.
Texas,54,1617.0,18.2,124.5,106.3,18.200000000000003,Texas
Texas A&M,45,1662.0,17.9,119.9,102.0,17.900000000000006,Texas A&M
Texas Tech,13,1760.0,26.7,124.9,98.2,26.700000000000003,Texas Tech
Troy,119,1647.0,2.1,110.7,108.6,2.1000000000000085,Troy
UCF,62,1627.0,14.0,120.4,106.4,14.0,UCF
UCLA,28,1772.0,22.2,123.8,101.6,22.200000000000003,UCLA
UConn,16,1879.0,28.7,122.7,94.1,28.60000000000001,UConn
UMBC,181,1666.0,-2.4,107.9,110.3,-2.3999999999999915,UMBC
Utah State,27,1838.0,23.1,123.8,100.7,23.099999999999994,Utah St.
VCU,40,1892.0,17.0,120.0,103.0,17.0,VCU
Vanderbilt,10,1869.0,27.5,126.9,99.5,27.400000000000006,Vanderbilt
Villanova,37,1727.0,19.7,119.9,100.2,19.700000000000003,Villanova
Virginia,8,1946.0,27.6,123.2,95.6,27.60000000000001,Virginia
Wisconsin,20,1824.0,24.0,126.4,102.4,24.0,Wisconsin
Wright State,127,1656.0,2.1,111.6,109.5,2.0999999999999943,Wright St.
