team_raw,hasla_rank,hasla_off,hasla_def,hasla_em,hasla_mom,hasla_sos,recent_form_raw,conference,team
Akron,71.0,119.320286,106.899031,12.421255000000002,0.526806,0.36942,1.0,Mid-American,Akron
Alabama,14.0,129.768044,100.990582,28.777462,0.402347,0.798764,0.6,SEC,Alabama
Arizona,3.0,127.57556,90.267027,37.308533,1.348367,0.727941,1.0,Big 12,Arizona
Arkansas,13.0,129.401497,100.856414,28.545083000000005,-1.90897,0.750323,1.0,SEC,Arkansas
BYU,29.0,124.975045,102.786355,22.188689999999994,-2.714173,0.739415,0.6,Big 12,BYU
Cal Baptist,102.0,108.782429,102.328002,6.4544269999999955,6.426794,0.412671,1.0,WAC,Cal Baptist
Clemson,32.0,117.830215,97.972594,19.857620999999995,0.587342,0.676794,0.6,ACC,Clemson
Duke,1.0,129.913862,88.76948,41.14438199999999,0.836498,0.732789,1.0,ACC,Duke
Florida,6.0,127.190577,92.031131,35.159446,-0.511218,0.755245,0.8,SEC,Florida
Furman,208.0,107.81378,110.473312,-2.659532000000013,1.073983,0.32586,0.8,Southern,Furman
Georgia,30.0,125.877775,104.280736,21.597038999999995,0.026538,0.65977,0.6,SEC,Georgia
Gonzaga,11.0,121.446719,91.843085,29.603634,-1.445146,0.609807,0.8,West Coast,Gonzaga
Hawaii,112.0,109.90294,104.850991,5.051949000000008,-1.039925,0.415293,0.8,Big West,Hawaii
High Point,93.0,117.369838,107.836672,9.533166000000008,-2.696775,0.243442,1.0,Big South,High Point
Hofstra,94.0,114.015501,105.886384,8.129116999999994,2.484286,0.403245,1.0,CAA,Hofstra
Houston,5.0,125.497077,90.71384,34.783237,-0.459845,0.72584,0.8,Big 12,Houston
Howard,209.0,103.240933,107.243987,-4.003054000000006,2.887809,0.195434,1.0,MEAC,Howard
Idaho,127.0,110.98256,107.891927,3.090633000000011,4.633866,0.449348,1.0,Big Sky,Idaho
Illinois,4.0,132.669898,97.901161,34.76873699999999,-4.250009,0.728966,0.4,Big Ten,Illinois
Iowa,24.0,123.985723,99.242249,24.743473999999992,-1.112301,0.685897,0.2,Big Ten,Iowa
Iowa State,8.0,124.266415,91.150051,33.11636399999999,1.26394,0.690449,0.6,Big 12,Iowa St.
Kansas,25.0,119.078569,94.001273,25.077296000000004,-4.287902,0.780719,0.4,Big 12,Kansas
Kennesaw State,149.0,110.965273,111.719088,-0.753815000000003,3.003646,0.414658,0.6,Conference USA,Kennesaw St.
Kentucky,26.0,122.454943,98.208731,24.246212,-1.226981,0.734082,0.4,SEC,Kentucky
Lehigh,269.0,103.832731,113.20287,-9.370139000000009,4.057055,0.279447,1.0,Patriot League,Lehigh
Long Island,237.0,106.053056,111.610297,-5.557241000000005,-1.116518,0.255414,1.0,Northeast,Long Island
Louisville,21.0,124.101493,97.700003,26.40149000000001,-4.136144,0.691642,0.6,ACC,Louisville
McNeese,64.0,116.183783,103.256743,12.927040000000005,1.128582,0.413594,1.0,Southland,McNeese
Miami,35.0,123.066213,102.448844,20.61736900000001,0.365411,0.618298,0.6,ACC,Miami (FL)
Miami (OH),99.0,116.811422,110.467853,6.343568999999988,-2.873122,0.301914,0.8,Mid-American,Miami (Ohio)
Michigan,2.0,129.999532,90.45638,39.54315199999999,-5.445433,0.803733,0.8,Big Ten,Michigan
Michigan State,9.0,124.657589,94.300807,30.356781999999995,-0.850645,0.745192,0.6,Big Ten,Michigan St.
Missouri,43.0,121.120581,103.057216,18.063365000000005,4.013053,0.659169,0.4,SEC,Missouri
NC State,38.0,124.9336,104.738031,20.195568999999992,-4.51722,0.714952,0.2,ACC,NC State
Nebraska,18.0,119.570317,92.255296,27.315021,-6.211256,0.689732,0.6,Big Ten,Nebraska
North Carolina,28.0,122.831314,98.610441,24.22087300000001,-5.491767,0.702266,0.6,ACC,North Carolina
North Dakota St.,104.0,111.859775,106.056253,5.803522000000001,1.125581,0.329493,0.8,Summit League,North Dakota St.
Northern Iowa,66.0,111.637748,98.787343,12.850404999999995,0.856306,0.526584,1.0,Missouri Valley,Northern Iowa
Ohio State,20.0,126.580879,101.162207,25.418672,5.514209,0.714785,0.8,Big Ten,Ohio St.
Penn,174.0,107.518679,106.708811,0.8098680000000087,2.91953,0.450648,1.0,Ivy,Penn
Purdue,7.0,134.650818,101.331879,33.318938999999986,0.530489,0.783124,0.8,Big Ten,Purdue
Queens,197.0,114.526882,117.720829,-3.1939469999999943,4.399018,0.341409,0.8,Atlantic Sun,Queens (N.C.)
