team_raw,prg_conference,prg_average_rank,prg_score,team
Akron,MAC E,69.0,-69.0,Akron
Alabama,SEC,15.2,-15.2,Alabama
Arizona,Pac-12,2.4,-2.4,Arizona
Arkansas,SEC,15.6,-15.6,Arkansas
BYU,WCC,23.8,-23.8,BYU
Cal Baptist,WAC,113.6,-113.6,Cal Baptist
Clemson,ACC,32.6,-32.6,Clemson
Duke,ACC,1.4,-1.4,Duke
Florida,SEC,4.6,-4.6,Florida
Furman,Southern,173.2,-173.2,Furman
Georgia,SEC,32.6,-32.6,Georgia
Gonzaga,WCC,8.6,-8.6,Gonzaga
Hawaii,Big West,115.6,-115.6,Hawaii
High Point,Big South,82.4,-82.4,High Point
Hofstra,CAA,98.6,-98.6,Hofstra
Houston,American,4.6,-4.6,Houston
Howard,MEAC,214.0,-214.0,Howard
Idaho,Big Sky,155.4,-155.4,Idaho
Illinois,Big Ten,8.2,-8.2,Illinois
Iowa,Big Ten,28.2,-28.2,Iowa
Iowa St.,Big 12,6.6,-6.6,Iowa St.
Kansas,Big 12,20.8,-20.8,Kansas
Kennesaw St.,A-Sun,141.8,-141.8,Kennesaw St.
Kentucky,SEC,25.6,-25.6,Kentucky
Lehigh,Patriot,286.2,-286.2,Lehigh
LIU Brooklyn,NEC,221.8,-221.8,Long Island
Louisville,ACC,17.8,-17.8,Louisville
McNeese,Southland,74.2,-74.2,McNeese
Miami,ACC,35.6,-35.6,Miami (FL)
Miami OH,MAC E,86.4,-86.4,Miami (Ohio)
Michigan,Big Ten,2.2,-2.2,Michigan
Michigan St.,Big Ten,12.0,-12.0,Michigan St.
Missouri,SEC,46.0,-46.0,Missouri
NC State,ACC,37.2,-37.2,NC State
Nebraska,Big Ten,17.4,-17.4,Nebraska
North Carolina,ACC,27.6,-27.6,North Carolina
North Dakota St.,Summit,119.2,-119.2,North Dakota St.
Northern Iowa,MVC,80.2,-80.2,Northern Iowa
Ohio St.,Big Ten,25.4,-25.4,Ohio St.
Penn,Ivy,152.2,-152.2,Penn
Prairie View A&M,SWAC,296.6,-296.6,Prairie View A&M
Purdue,Big Ten,7.8,-7.8,Purdue
Queens University,A-Sun,191.2,-191.2,Queens (N.C.)
SMU,American,42.8,-42.8,SMU
Saint Louis,A 10,40.2,-40.2,Saint Louis
Saint Mary's,WCC,27.0,-27.0,Saint Mary's
Santa Clara,WCC,39.8,-39.8,Santa Clara
Siena,MAAC,191.2,-191.2,Siena
USF,American,51.4,-51.4,South Florida
St. John's,Big East,14.2,-14.2,St. John's
TCU,Big 12,44.2,-44.2,TCU
Tennessee,SEC,15.6,-15.6,Tennessee
Tennessee St.,OVC,195.8,-195.8,Tennessee St.
Texas,Big 12,39.6,-39.6,Texas
Texas A&M,SEC,36.6,-36.6,Texas A&M
Texas Tech,Big 12,18.2,-18.2,Texas Tech
Troy,Sun Belt,135.8,-135.8,Troy
UCF,American,53.0,-53.0,UCF
UCLA,Pac-12,26.0,-26.0,UCLA
Connecticut,Big East,9.8,-9.8,UConn
UMBC,Am. East,190.8,-190.8,UMBC
Utah St.,MW,31.0,-31.0,Utah St.
VCU,A 10,46.4,-46.4,VCU
Vanderbilt,SEC,12.6,-12.6,Vanderbilt
Villanova,Big East,35.2,-35.2,Villanova
Virginia,ACC,17.2,-17.2,Virginia
Wisconsin,Big Ten,22.4,-22.4,Wisconsin
Wright St.,Horizon,138.6,-138.6,Wright St.
