team_raw,warrennolan_elo_rank,warrennolan_elo,team
Akron,29,1624.24,Akron
Alabama,18,1677.92,Alabama
Arizona,2,1903.89,Arizona
Arkansas,9,1758.59,Arkansas
BYU,30,1619.36,BYU
California Baptist,62,1499.14,Cal Baptist
Clemson,33,1614.89,Clemson
Duke,1,1909.68,Duke
Florida,5,1786.41,Florida
Furman,129,1383.24,Furman
Georgia,43,1572.01,Georgia
Gonzaga,10,1747.01,Gonzaga
Hawaii,94,1447.03,Hawaii
High Point,41,1574.1,High Point
Hofstra,71,1491.42,Hofstra
Houston,6,1777.42,Houston
Howard,176,1321.61,Howard
Idaho,172,1324.6,Idaho
Illinois,20,1673.8,Illinois
Iowa,48,1549.57,Iowa
Iowa State,12,1719.04,Iowa St.
Kansas,15,1686.32,Kansas
Kennesaw State,111,1409.69,Kennesaw St.
Kentucky,34,1612.68,Kentucky
Lehigh,199,1288.17,Lehigh
Long Island,161,1341.81,Long Island
Louisville,28,1629.11,Louisville
McNeese,39,1583.45,McNeese
Miami (FL),31,1616.41,Miami (FL)
Miami (OH),38,1608.32,Miami (Ohio)
Michigan,3,1872.09,Michigan
Michigan State,13,1705.11,Michigan St.
Missouri,51,1539.24,Missouri
North Carolina State,55,1529.59,NC State
Nebraska,24,1650.11,Nebraska
North Carolina,25,1649.41,North Carolina
North Dakota State,80,1472.87,North Dakota St.
Northern Iowa,69,1491.72,Northern Iowa
Ohio State,27,1634.9,Ohio St.
Penn,96,1444.03,Penn
Prairie View A&M,240,1239.68,Prairie View A&M
Purdue,7,1767.19,Purdue
Queens,130,1382.14,Queens (N.C.)
SMU,79,1474.94,SMU
Saint Louis,40,1574.54,Saint Louis
Saint Mary's College,19,1675.67,Saint Mary's
Santa Clara,32,1616.29,Santa Clara
Siena,109,1409.88,Siena
South Florida,36,1610.68,South Florida
Saint John's,4,1805.23,St. John's
TCU,26,1638.72,TCU
Tennessee,35,1612.45,Tennessee
Tennessee State,116,1403.17,Tennessee St.
Texas,63,1498.37,Texas
Texas A&M,47,1555.68,Texas A&M
Texas Tech,23,1659.65,Texas Tech
Troy,99,1434.85,Troy
UCF,49,1545.42,UCF
UCLA,21,1663.38,UCLA
Connecticut,11,1743.27,UConn
UMBC,126,1389.32,UMBC
Utah State,22,1661.89,Utah St.
VCU,17,1682.47,VCU
Vanderbilt,16,1686.14,Vanderbilt
Villanova,37,1610.29,Villanova
Virginia,8,1761.56,Virginia
Wisconsin,14,1696.19,Wisconsin
Wright State,97,1443.29,Wright St.
