team_raw,warrennolan_net_rank,warrennolan_net_score,team
Akron,54,-54,Akron
Alabama,18,-18,Alabama
Arizona,3,-3,Arizona
Arkansas,15,-15,Arkansas
BYU,23,-23,BYU
California Baptist,98,-98,Cal Baptist
Clemson,34,-34,Clemson
Duke,1,-1,Duke
Florida,4,-4,Florida
Furman,186,-186,Furman
Georgia,33,-33,Georgia
Gonzaga,7,-7,Gonzaga
Hawaii,101,-101,Hawaii
High Point,75,-75,High Point
Hofstra,88,-88,Hofstra
Houston,5,-5,Houston
Howard,203,-203,Howard
Idaho,145,-145,Idaho
Illinois,8,-8,Illinois
Iowa,27,-27,Iowa
Iowa State,6,-6,Iowa St.
Kansas,21,-21,Kansas
Kennesaw State,155,-155,Kennesaw St.
Kentucky,28,-28,Kentucky
Lehigh,275,-275,Lehigh
Long Island,198,-198,Long Island
Louisville,17,-17,Louisville
McNeese,56,-56,McNeese
Miami (FL),32,-32,Miami (FL)
Miami (OH),64,-64,Miami (Ohio)
Michigan,2,-2,Michigan
Michigan State,11,-11,Michigan St.
Missouri,58,-58,Missouri
North Carolina State,36,-36,NC State
Nebraska,14,-14,Nebraska
North Carolina,24,-24,North Carolina
North Dakota State,114,-114,North Dakota St.
Northern Iowa,72,-72,Northern Iowa
Ohio State,29,-29,Ohio St.
Penn,139,-139,Penn
Prairie View A&M,300,-300,Prairie View A&M
Purdue,9,-9,Purdue
Queens,189,-189,Queens (N.C.)
SMU,37,-37,SMU
Saint Louis,31,-31,Saint Louis
Saint Mary's College,22,-22,Saint Mary's
Santa Clara,40,-40,Santa Clara
Siena,183,-183,Siena
South Florida,45,-45,South Florida
Saint John's,16,-16,St. John's
TCU,39,-39,TCU
Tennessee,20,-20,Tennessee
Tennessee State,172,-172,Tennessee St.
Texas,42,-42,Texas
Texas A&M,44,-44,Texas A&M
Texas Tech,19,-19,Texas Tech
Troy,125,-125,Troy
UCF,51,-51,UCF
UCLA,30,-30,UCLA
Connecticut,10,-10,UConn
UMBC,196,-196,UMBC
Utah State,26,-26,Utah St.
VCU,43,-43,VCU
Vanderbilt,13,-13,Vanderbilt
Villanova,35,-35,Villanova
Virginia,12,-12,Virginia
Wisconsin,25,-25,Wisconsin
Wright State,127,-127,Wright St.
