team1,seed1,team2,seed2,team1_win_prob
Duke,1,Ohio State,8,0.8067957661131434
Duke,1,St. John's,5,0.7009007779864068
Duke,1,Kansas,4,0.6473611339456902
Duke,1,Louisville,6,0.8074436014267737
Duke,1,Michigan State,3,0.7282547419027031
Duke,1,UCLA,7,0.7700143915256227
Duke,1,UConn,2,0.6568206403041366
Duke,1,Arizona,1,0.5016838667485598
Duke,1,Villanova,8,0.8460342421185965
Duke,1,Wisconsin,5,0.7060031599722192
Duke,1,Arkansas,4,0.6571041053630298
Duke,1,BYU,6,0.7263697617647212
Duke,1,Gonzaga,3,0.8435732260650021
Duke,1,Miami (FL),7,0.874261675070544
Duke,1,Purdue,2,0.488355413028011
Duke,1,Florida,1,0.645491982339338
Duke,1,Clemson,8,0.8225592546720345
Duke,1,Vanderbilt,5,0.6967882860019894
Duke,1,Nebraska,4,0.801498681227488
Duke,1,North Carolina,6,0.8159553859006178
Duke,1,Illinois,3,0.7911327453397251
Duke,1,Saint Mary's,7,0.7987746138186024
Duke,1,Houston,2,0.6095107306794462
Duke,1,Michigan,1,0.42365440417781647
Duke,1,Georgia,8,0.8930954742012998
Duke,1,Texas Tech,5,0.7300877687189725
Duke,1,Alabama,4,0.6996277060607998
Duke,1,Tennessee,6,0.7824220588313475
Duke,1,Virginia,3,0.7109817658013341
Duke,1,Kentucky,7,0.751176205796074
Duke,1,Iowa State,2,0.6659232469514081
Duke,1,Siena,16,0.9941750863571872
Duke,1,TCU,9,0.8626142624736832
Duke,1,Northern Iowa,12,0.8363282890700522
Duke,1,California Baptist,13,0.9803951029963744
Duke,1,South Florida,11,0.8516840705112121
Duke,1,North Dakota State,14,0.8687261455718406
Duke,1,UCF,10,0.8515051838426781
Duke,1,Furman,15,0.8998556647022254
Duke,1,LIU,16,0.9927134768987174
Duke,1,Utah State,9,0.6764009251082542
Duke,1,High Point,12,0.5150727011285551
Duke,1,Hawaii,13,0.958721898700071
Duke,1,Texas,11,0.7911433332802335
Duke,1,Kennesaw State,14,0.460958264984937
Duke,1,Missouri,10,0.8988456710128175
Duke,1,Queens,15,0.9871445756207756
Duke,1,Prairie View A&M,16,0.7437885502421024
Duke,1,Iowa,9,0.8672274903603528
Duke,1,McNeese,12,0.6504401693072207
Duke,1,Troy,13,0.8446305334929338
Duke,1,VCU,11,0.9270032109427295
Duke,1,Penn,14,0.9202539907353308
Duke,1,Texas A&M,10,0.9071637643035748
Duke,1,Idaho,15,0.7849062026859137
Duke,1,Howard,16,0.9762228908340697
Duke,1,Saint Louis,9,0.7876066263050944
Duke,1,Akron,12,0.8168736963878311
Duke,1,Hofstra,13,0.8413753048828133
Duke,1,Miami (OH),11,0.6583106106820034
Duke,1,Wright State,14,0.886008989270233
Duke,1,Santa Clara,10,0.8308006743598817
Duke,1,Tennessee State,15,0.9432450900043915
Ohio State,8,Duke,1,0.193204233886857
Ohio State,8,St. John's,5,0.35945468403330927
Ohio State,8,Kansas,4,0.3053683594766923
Ohio State,8,Louisville,6,0.5010403476380145
Ohio State,8,Michigan State,3,0.3908985222832351
Ohio State,8,UCLA,7,0.44499100498704774
Ohio State,8,UConn,2,0.31428433360882096
Ohio State,8,Arizona,1,0.19425630796994736
Ohio State,8,Villanova,8,0.5681990024724448
Ohio State,8,Wisconsin,5,0.3651056072055623
Ohio State,8,Arkansas,4,0.31455546856017585
Ohio State,8,BYU,6,0.38863793184200357
Ohio State,8,Gonzaga,3,0.5635878152928884
Ohio State,8,Miami (FL),7,0.6247722590139617
Ohio State,8,Purdue,2,0.1860460612343056
Ohio State,8,Florida,1,0.3036364231238168
Ohio State,8,Clemson,8,0.5260915471243853
Ohio State,8,Vanderbilt,5,0.35496797431850535
Ohio State,8,Nebraska,4,0.49159200782065693
Ohio State,8,North Carolina,6,0.5149602235372688
Ohio State,8,Illinois,3,0.4756303609027211
Ohio State,8,Saint Mary's,7,0.48733533305382715
Ohio State,8,Houston,2,0.2720856156177212
Ohio State,8,Michigan,1,0.14968011580545726
Ohio State,8,Georgia,8,0.6667305374882038
Ohio State,8,Texas Tech,5,0.3931107833766195
Ohio State,8,Alabama,4,0.3580593584829738
Ohio State,8,Tennessee,6,0.4626980497058696
Ohio State,8,Virginia,3,0.37071149187481633
Ohio State,8,Kentucky,7,0.41959712202958127
Ohio State,8,Iowa State,2,0.3231093190172058
Ohio State,8,Siena,16,0.976117720128233
Ohio State,8,TCU,9,0.600572794872635
Ohio State,8,Northern Iowa,12,0.5502883576871164
Ohio State,8,California Baptist,13,0.9229310143216591
Ohio State,8,South Florida,11,0.5789704135506689
Ohio State,8,North Dakota State,14,0.6131137081539781
Ohio State,8,UCF,10,0.578625338988345
Ohio State,8,Furman,15,0.6827197839631309
Ohio State,8,LIU,16,0.9702606270261915
Ohio State,8,Utah State,9,0.333578960027568
Ohio State,8,High Point,12,0.20277925370170183
Ohio State,8,Hawaii,13,0.8476059434748598
Ohio State,8,Texas,11,0.4756463420392051
Ohio State,8,Kennesaw State,14,0.16997446955571827
Ohio State,8,Missouri,10,0.6802979226034287
Ohio State,8,Queens,15,0.9484231548110069
Ohio State,8,Prairie View A&M,16,0.41009588376507333
Ohio State,8,Iowa,9,0.6100069419337008
Ohio State,8,McNeese,12,0.3082426084096559
Ohio State,8,Troy,13,0.5655629706089076
Ohio State,8,VCU,11,0.7525425426648659
Ohio State,8,Penn,14,0.7342864352160449
Ohio State,8,Texas A&M,10,0.7006013832287077
Ohio State,8,Idaho,15,0.46634280026280106
Ohio State,8,Howard,16,0.9076811564703078
Ohio State,8,Saint Louis,9,0.47034383645669237
Ohio State,8,Akron,12,0.5164904339636794
Ohio State,8,Hofstra,13,0.5595101078005765
Ohio State,8,Miami (OH),11,0.31571211242954733
Ohio State,8,Wright State,14,0.6505106957963439
Ohio State,8,Santa Clara,10,0.5404091050911385
Ohio State,8,Tennessee State,15,0.7991934875560918
St. John's,5,Duke,1,0.2990992220135936
St. John's,5,Ohio State,8,0.6405453159666913
St. John's,5,Kansas,4,0.43926854523505005
St. John's,5,Louisville,6,0.641502903657536
St. John's,5,Michigan State,3,0.5334984598045247
St. John's,5,UCLA,7,0.5882659477116848
St. John's,5,UConn,2,0.44956381600421974
St. John's,5,Arizona,1,0.30051315102603365
St. John's,5,Villanova,8,0.7010365371164459
St. John's,5,Wisconsin,5,0.5061146264845786
St. John's,5,Arkansas,4,0.4498750901969786
St. John's,5,BYU,6,0.5311323066711956
St. John's,5,Gonzaga,3,0.6970876653701186
St. John's,5,Miami (FL),7,0.7479268394832954
St. John's,5,Purdue,2,0.28942511611902694
St. John's,5,Florida,1,0.4372552223789024
St. John's,5,Clemson,8,0.6642279383052926
St. John's,5,Vanderbilt,5,0.49511499487271526
St. John's,5,Nebraska,4,0.6327648788973408
St. John's,5,North Carolina,6,0.6542085901503598
St. John's,5,Illinois,3,0.6177894099855837
St. John's,5,Saint Mary's,7,0.628797667609241
St. John's,5,Houston,2,0.39979126714481544
St. John's,5,Michigan,1,0.23877988719384713
St. John's,5,Georgia,8,0.7809423452130299
St. John's,5,Texas Tech,5,0.5358078318831432
St. John's,5,Alabama,4,0.49848367741258964
St. John's,5,Tennessee,6,0.605454801103715
St. John's,5,Virginia,3,0.5121391226997701
St. John's,5,Kentucky,7,0.5629896318119141
St. John's,5,Iowa State,2,0.4596411657853641
St. John's,5,Siena,16,0.9864560416024913
St. John's,5,TCU,9,0.7282148131415097
St. John's,5,Northern Iowa,12,0.6855869139977155
St. John's,5,California Baptist,13,0.9552373306876218
St. John's,5,South Florida,11,0.710184446633778
St. John's,5,North Dakota State,14,0.7384931476941475
St. John's,5,UCF,10,0.7098930278900134
St. John's,5,Furman,15,0.7931520417056276
St. John's,5,LIU,16,0.983090483913464
St. John's,5,Utah State,9,0.47145349997661584
St. John's,5,High Point,12,0.3118934887558702
St. John's,5,Hawaii,13,0.9083520942124971
St. John's,5,Texas,11,0.6178045400150088
St. John's,5,Kennesaw State,14,0.2673564593444093
St. John's,5,Missouri,10,0.7913154693829877
St. John's,5,Queens,15,0.9703863729659603
St. John's,5,Prairie View A&M,16,0.5533369791854765
St. John's,5,Iowa,9,0.7359596091935351
St. John's,5,McNeese,12,0.44260007384453937
St. John's,5,Troy,13,0.6987815420945885
St. John's,5,VCU,11,0.8442176639413517
St. John's,5,Penn,14,0.8312078826144221
St. John's,5,Texas A&M,10,0.8065731183681494
St. John's,5,Idaho,15,0.6089496003271752
St. John's,5,Howard,16,0.9460060338550678
St. John's,5,Saint Louis,9,0.6127692572111694
St. John's,5,Akron,12,0.6555933046167246
St. John's,5,Hofstra,13,0.6935791430168984
St. John's,5,Miami (OH),11,0.4512017763961322
St. John's,5,Wright State,14,0.7683497844265612
St. John's,5,Santa Clara,10,0.6769349470869634
St. John's,5,Tennessee State,15,0.8764239319223689
Kansas,4,Duke,1,0.3526388660543104
Kansas,4,Ohio State,8,0.6946316405233082
Kansas,4,St. John's,5,0.5607314547649507
Kansas,4,Louisville,6,0.695513634186687
Kansas,4,Michigan State,3,0.5934692950221339
Kansas,4,UCLA,7,0.645869654029191
Kansas,4,UConn,2,0.5104229756866543
Kansas,4,Arizona,1,0.3541779977499612
Kansas,4,Villanova,8,0.7495792964081808
Kansas,4,Wisconsin,5,0.5667469353086356
Kansas,4,Arkansas,4,0.5107372890085979
Kansas,4,BYU,6,0.5911742252583457
Kansas,4,Gonzaga,3,0.7460393273296558
Kansas,4,Miami (FL),7,0.7911244973531744
Kansas,4,Purdue,2,0.34207822856372994
Kansas,4,Florida,1,0.49795551442723734
Kansas,4,Clemson,8,0.7163289066823862
Kansas,4,Vanderbilt,5,0.5559128010159785
Kansas,4,Nebraska,4,0.6874506714303109
Kansas,4,North Carolina,6,0.7071788660207894
Kansas,4,Illinois,3,0.6735547536024026
Kansas,4,Saint Mary's,7,0.6837789939558954
Kansas,4,Houston,2,0.45953773737714043
Kansas,4,Michigan,1,0.28592688049676546
Kansas,4,Georgia,8,0.8198449725334407
Kansas,4,Texas Tech,5,0.5957067672746866
Kansas,4,Alabama,4,0.5592369523403441
Kansas,4,Tennessee,6,0.6620352855180934
Kansas,4,Virginia,3,0.5726563207808543
Kansas,4,Kentucky,7,0.6218564623978564
Kansas,4,Iowa State,2,0.5205743355093141
Kansas,4,Siena,16,0.989358647854823
Kansas,4,TCU,9,0.7737687292949247
Kansas,4,Northern Iowa,12,0.7356924451894004
Kansas,4,California Baptist,13,0.9645902590878116
Kansas,4,South Florida,11,0.7577551235572088
Kansas,4,North Dakota State,14,0.7828380563137214
Kansas,4,UCF,10,0.7574952049503979
Kansas,4,Furman,15,0.830357361322605
Kansas,4,LIU,16,0.9867046417209574
Kansas,4,Utah State,9,0.532409705741338
Kansas,4,High Point,12,0.36652571202572465
Kansas,4,Hawaii,13,0.9267502381787944
Kansas,4,Texas,11,0.6735688425417597
Kansas,4,Kennesaw State,14,0.31779031119627943
Kansas,4,Missouri,10,0.8287798178841702
Kansas,4,Queens,15,0.9766513563141467
Kansas,4,Prairie View A&M,16,0.6126093623971587
Kansas,4,Iowa,9,0.7806065077491307
Kansas,4,McNeese,12,0.5033786401106705
Kansas,4,Troy,13,0.7475585979058577
Kansas,4,VCU,11,0.8737005210696943
Kansas,4,Penn,14,0.8627526420797311
Kansas,4,Texas A&M,10,0.8418457713846973
Kansas,4,Idaho,15,0.6653059567380377
Kansas,4,Howard,16,0.957201374290866
Kansas,4,Saint Louis,9,0.6688744694846762
Kansas,4,Akron,12,0.7084459946017443
Kansas,4,Hofstra,13,0.7428886678529869
Kansas,4,Miami (OH),11,0.5120763888827684
Kansas,4,Wright State,14,0.8089416160168237
Kansas,4,Santa Clara,10,0.7278719926114191
Kansas,4,Tennessee State,15,0.9005297114445904
Louisville,6,Duke,1,0.19255639857322662
Louisville,6,Ohio State,8,0.49895965236198603
Louisville,6,St. John's,5,0.3584970963424645
Louisville,6,Kansas,4,0.30448636581331356
Louisville,6,Michigan State,3,0.38990815786726635
Louisville,6,UCLA,7,0.44396348488692994
Louisville,6,UConn,2,0.31338820617476926
Louisville,6,Arizona,1,0.19360579147776869
Louisville,6,Villanova,8,0.5671777200517233
Louisville,6,Wisconsin,5,0.36414152348581774
Louisville,6,Arkansas,4,0.31365892165926396
Louisville,6,BYU,6,0.3876496497222142
Louisville,6,Gonzaga,3,0.5625640229545884
Louisville,6,Miami (FL),7,0.6237961895886401
Louisville,6,Purdue,2,0.18541671192911208
Louisville,6,Florida,1,0.30275725151675686
Louisville,6,Clemson,8,0.5250539197687665
Louisville,6,Vanderbilt,5,0.3540157332805139
Louisville,6,Nebraska,4,0.4905519907584636
Louisville,6,North Carolina,6,0.5139207425397153
Louisville,6,Illinois,3,0.4745925898704616
Louisville,6,Saint Mary's,7,0.4862957076679979
Louisville,6,Houston,2,0.2712622122223248
Louisville,6,Michigan,1,0.14915124175207226
Louisville,6,Georgia,8,0.6658052306398438
Louisville,6,Texas Tech,5,0.39211842230327054
Louisville,6,Alabama,4,0.3571034156339732
Louisville,6,Tennessee,6,0.46166365294170486
Louisville,6,Virginia,3,0.3697412260592578
Louisville,6,Kentucky,7,0.41858401518491783
Louisville,6,Iowa State,2,0.32219985206097806
Louisville,6,Siena,16,0.9760205175502139
Louisville,6,TCU,9,0.5995741212625488
Louisville,6,Northern Iowa,12,0.549258318312577
Louisville,6,California Baptist,13,0.9226344954192738
Louisville,6,South Florida,11,0.577955684234471
Louisville,6,North Dakota State,14,0.6121261394465416
Louisville,6,UCF,10,0.5776103847497674
Louisville,6,Furman,15,0.6818176847440047
Louisville,6,LIU,16,0.9701403148969956
Louisville,6,Utah State,9,0.33265450633030524
Louisville,6,High Point,12,0.20210735505985528
Louisville,6,Hawaii,13,0.8470676375350573
Louisville,6,Texas,11,0.4746085676979834
Louisville,6,Kennesaw State,14,0.16938817267104833
Louisville,6,Missouri,10,0.6793921711303503
Louisville,6,Queens,15,0.9482192128563158
Louisville,6,Prairie View A&M,16,0.4090895481035012
Louisville,6,Iowa,9,0.609016500070641
