year,round,team1,team2,winner,seed_diff,srs_diff,sos_diff,win_pct_diff,points_margin_diff,label
2008,R64,UNC,Mount St. Mary's,UNC,-15.0,1.04,0.71,0.1379999999999999,109.0,1.0
2008,R64,Mount St. Mary's,UNC,UNC,15.0,-1.04,-0.71,-0.1379999999999999,-109.0,0.0
2008,R64,Indiana,Arkansas,Arkansas,-1.0,3.299999999999999,-0.6500000000000004,0.10099999999999998,119.0,0.0
2008,R64,Arkansas,Indiana,Arkansas,1.0,-3.299999999999999,0.6500000000000004,-0.10099999999999998,-119.0,1.0
2008,R64,Notre Dame,George Mason,Notre Dame,-7.0,10.079999999999998,7.78,0.08199999999999996,79.0,1.0
2008,R64,George Mason,Notre Dame,Notre Dame,7.0,-10.079999999999998,-7.78,-0.08199999999999996,-79.0,0.0
2008,R64,Washington State,Winthrop,Washington State,-9.0,12.740000000000002,7.8,0.09599999999999997,135.0,1.0
2008,R64,Winthrop,Washington State,Washington State,9.0,-12.740000000000002,-7.8,-0.09599999999999997,-135.0,0.0
2008,R64,Oklahoma,Saint Joseph's,Oklahoma,-5.0,2.34,3.8699999999999997,0.039000000000000035,-48.0,1.0
2008,R64,Saint Joseph's,Oklahoma,Oklahoma,5.0,-2.34,-3.8699999999999997,-0.039000000000000035,48.0,0.0
2008,R64,Louisville,Boise State,Louisville,-11.0,17.4,10.07,0.015000000000000013,196.0,1.0
2008,R64,Boise State,Louisville,Louisville,11.0,-17.4,-10.07,-0.015000000000000013,-196.0,0.0
2008,R64,Butler,South Alabama,Butler,-3.0,5.24,3.85,0.09399999999999997,34.0,1.0
2008,R64,South Alabama,Butler,Butler,3.0,-5.24,-3.85,-0.09399999999999997,-34.0,0.0
2008,R64,Tennessee,American,Tennessee,-13.0,20.28,11.84,0.22499999999999998,336.0,1.0
2008,R64,American,Tennessee,Tennessee,13.0,-20.28,-11.84,-0.22499999999999998,-336.0,0.0
2008,R32,UNC,Arkansas,UNC,-8.0,-15.030000000000001,-11.14,0.039999999999999925,-40.0,1.0
2008,R32,Arkansas,UNC,UNC,8.0,15.030000000000001,11.14,-0.039999999999999925,40.0,0.0
2008,R32,Notre Dame,Washington State,Washington State,1.0,-0.20000000000000284,0.6800000000000006,0.015000000000000013,-39.0,0.0
2008,R32,Washington State,Notre Dame,Washington State,-1.0,0.20000000000000284,-0.6800000000000006,-0.015000000000000013,39.0,1.0
2008,R32,Oklahoma,Louisville,Louisville,3.0,-7.029999999999999,-0.15000000000000036,-0.09299999999999997,-252.0,0.0
2008,R32,Louisville,Oklahoma,Louisville,-3.0,7.029999999999999,0.15000000000000036,0.09299999999999997,252.0,1.0
2008,R32,Butler,Tennessee,Tennessee,5.0,-5.41,-5.199999999999999,0.02100000000000002,-73.0,0.0
2008,R32,Tennessee,Butler,Tennessee,-5.0,5.41,5.199999999999999,-0.02100000000000002,73.0,1.0
2008,S16,UNC,Washington State,UNC,-3.0,-18.900000000000002,-10.76,-0.04600000000000004,-189.0,1.0
2008,S16,Washington State,UNC,UNC,3.0,18.900000000000002,10.76,0.04600000000000004,189.0,0.0
2008,S16,Louisville,Tennessee,Louisville,1.0,0.5899999999999999,0.16000000000000014,-0.11099999999999999,-31.0,1.0
2008,S16,Tennessee,Louisville,Louisville,-1.0,-0.5899999999999999,-0.16000000000000014,0.11099999999999999,31.0,0.0
2008,E8,UNC,Louisville,UNC,-2.0,-21.55,-12.41,-0.05300000000000005,-235.0,1.0
2008,E8,Louisville,UNC,UNC,2.0,21.55,12.41,0.05300000000000005,235.0,0.0
2008,R64,Kansas,Portland State,Kansas,-15.0,25.18,11.209999999999999,0.2280000000000001,568.0,1.0
2008,R64,Portland State,Kansas,Kansas,15.0,-25.18,-11.209999999999999,-0.2280000000000001,-568.0,0.0
2008,R64,UNLV,Kent State,UNLV,-1.0,2.7600000000000007,3.6099999999999994,-0.029000000000000026,12.0,1.0
2008,R64,Kent State,UNLV,UNLV,1.0,-2.7600000000000007,-3.6099999999999994,0.029000000000000026,-12.0,0.0
2008,R64,Clemson,Villanova,Villanova,-7.0,7.050000000000001,1.3899999999999997,0.07699999999999996,205.0,0.0
2008,R64,Villanova,Clemson,Villanova,7.0,-7.050000000000001,-1.3899999999999997,-0.07699999999999996,-205.0,1.0
2008,R64,Vanderbilt,Siena,Siena,-9.0,6.900000000000001,7.16,0.08899999999999997,-9.0,0.0
2008,R64,Siena,Vanderbilt,Siena,9.0,-6.900000000000001,-7.16,-0.08899999999999997,9.0,1.0
2008,R64,USC,Kansas State,Kansas State,-5.0,-1.8999999999999986,0.7999999999999998,0.0,-125.0,0.0
2008,R64,Kansas State,USC,Kansas State,5.0,1.8999999999999986,-0.7999999999999998,-0.0,125.0,1.0
2008,R64,Wisconsin,Cal State Fullerton,Wisconsin,-11.0,13.95,9.790000000000001,0.134,161.0,1.0
2008,R64,Cal State Fullerton,Wisconsin,Wisconsin,11.0,-13.95,-9.790000000000001,-0.134,-161.0,0.0
2008,R64,Gonzaga,Davidson,Davidson,-3.0,0.8800000000000008,0.49,-0.04800000000000004,-111.0,0.0
2008,R64,Davidson,Gonzaga,Davidson,3.0,-0.8800000000000008,-0.49,0.04800000000000004,111.0,1.0
2008,R64,Georgetown,UMBC,Georgetown,-13.0,18.67,11.760000000000002,0.09699999999999998,199.0,1.0
2008,R64,UMBC,Georgetown,Georgetown,13.0,-18.67,-11.760000000000002,-0.09699999999999998,-199.0,0.0
2008,R32,Kansas,UNLV,Kansas,-7.0,16.669999999999998,4.18,0.15400000000000003,502.0,1.0
2008,R32,UNLV,Kansas,Kansas,7.0,-16.669999999999998,-4.18,-0.15400000000000003,-502.0,0.0
2008,R32,Villanova,Siena,Villanova,-1.0,6.94,9.31,-0.04700000000000004,-77.0,1.0
2008,R32,Siena,Villanova,Villanova,1.0,-6.94,-9.31,0.04700000000000004,77.0,0.0
2008,R32,Kansas State,Wisconsin,Wisconsin,8.0,-3.8000000000000007,1.0599999999999996,-0.22499999999999998,-163.0,0.0
2008,R32,Wisconsin,Kansas State,Wisconsin,-8.0,3.8000000000000007,-1.0599999999999996,0.22499999999999998,163.0,1.0
2008,R32,Davidson,Georgetown,Davidson,8.0,-4.800000000000001,-5.57,-0.017999999999999905,138.0,1.0
2008,R32,Georgetown,Davidson,Davidson,-8.0,4.800000000000001,5.57,0.017999999999999905,-138.0,0.0
2008,S16,Kansas,Villanova,Kansas,-11.0,15.899999999999999,0.5099999999999989,0.29600000000000004,645.0,1.0
2008,S16,Villanova,Kansas,Kansas,11.0,-15.899999999999999,-0.5099999999999989,-0.29600000000000004,-645.0,0.0
2008,S16,Wisconsin,Davidson,Davidson,-7.0,5.66,5.07,0.05499999999999994,-66.0,0.0
2008,S16,Davidson,Wisconsin,Davidson,7.0,-5.66,-5.07,-0.05499999999999994,66.0,1.0
2008,E8,Kansas,Davidson,Kansas,-9.0,12.969999999999999,6.539999999999999,0.119,232.0,1.0
2008,E8,Davidson,Kansas,Kansas,9.0,-12.969999999999999,-6.539999999999999,-0.119,-232.0,0.0
2008,R64,Memphis,UT Arlington,Memphis,-15.0,26.6,10.379999999999999,0.31399999999999995,571.0,1.0
2008,R64,UT Arlington,Memphis,Memphis,15.0,-26.6,-10.379999999999999,-0.31399999999999995,-571.0,0.0
2008,R64,Mississippi State,Oregon,Mississippi State,-1.0,1.7400000000000002,-1.9100000000000001,0.1130000000000001,132.0,1.0
2008,R64,Oregon,Mississippi State,Mississippi State,1.0,-1.7400000000000002,1.9100000000000001,-0.1130000000000001,-132.0,0.0
2008,R64,Michigan State,Temple,Michigan State,-7.0,8.16,3.1099999999999994,0.132,189.0,1.0
2008,R64,Temple,Michigan State,Michigan State,7.0,-8.16,-3.1099999999999994,-0.132,-189.0,0.0
2008,R64,Pitt,Oral Roberts,Pitt,-9.0,9.91,8.1,0.0030000000000000027,86.0,1.0
2008,R64,Oral Roberts,Pitt,Pitt,9.0,-9.91,-8.1,-0.0030000000000000027,-86.0,0.0
2008,R64,Marquette,Kentucky,Marquette,-5.0,9.430000000000001,1.0,0.133,299.0,1.0
2008,R64,Kentucky,Marquette,Marquette,5.0,-9.430000000000001,-1.0,-0.133,-299.0,0.0
2008,R64,Stanford,Cornell,Stanford,-11.0,15.549999999999999,11.690000000000001,-0.008000000000000007,118.0,1.0
2008,R64,Cornell,Stanford,Stanford,11.0,-15.549999999999999,-11.690000000000001,0.008000000000000007,-118.0,0.0
2008,R64,Miami (FL),Saint Mary's,Miami (FL),-3.0,0.9900000000000002,6.77,-0.10499999999999998,-151.0,1.0
2008,R64,Saint Mary's,Miami (FL),Miami (FL),3.0,-0.9900000000000002,-6.77,0.10499999999999998,151.0,0.0
2008,R64,Texas,Austin Peay,Texas,-13.0,20.34,13.83,0.1299999999999999,288.0,1.0
2008,R64,Austin Peay,Texas,Texas,13.0,-20.34,-13.83,-0.1299999999999999,-288.0,0.0
2008,R32,Memphis,Mississippi State,Memphis,-7.0,10.31,0.019999999999999574,0.2739999999999999,458.0,1.0
2008,R32,Mississippi State,Memphis,Memphis,7.0,-10.31,-0.019999999999999574,-0.2739999999999999,-458.0,0.0
2008,R32,Michigan State,Pitt,Michigan State,1.0,0.7000000000000011,-0.16000000000000014,0.020000000000000018,-10.0,1.0
2008,R32,Pitt,Michigan State,Michigan State,-1.0,-0.7000000000000011,0.16000000000000014,-0.020000000000000018,10.0,0.0
2008,R32,Marquette,Stanford,Stanford,3.0,2.3100000000000023,1.1399999999999997,-0.06400000000000006,52.0,0.0
2008,R32,Stanford,Marquette,Stanford,-3.0,-2.3100000000000023,-1.1399999999999997,0.06400000000000006,-52.0,1.0
2008,R32,Miami (FL),Texas,Texas,5.0,-5.749999999999998,-1.46,-0.1399999999999999,-168.0,0.0
2008,R32,Texas,Miami (FL),Texas,-5.0,5.749999999999998,1.46,0.1399999999999999,168.0,1.0
2008,S16,Memphis,Michigan State,Memphis,-4.0,7.41,-1.92,0.19999999999999996,408.0,1.0
2008,S16,Michigan State,Memphis,Memphis,4.0,-7.41,1.92,-0.19999999999999996,-408.0,0.0
2008,S16,Stanford,Texas,Texas,1.0,-1.8200000000000003,-1.6399999999999997,-0.03799999999999992,-64.0,0.0
2008,S16,Texas,Stanford,Texas,-1.0,1.8200000000000003,1.6399999999999997,0.03799999999999992,64.0,1.0
2008,E8,Memphis,Texas,Memphis,-1.0,5.600000000000001,-2.83,0.134,318.0,1.0
2008,E8,Texas,Memphis,Memphis,1.0,-5.600000000000001,2.83,-0.134,-318.0,0.0
2008,R64,UCLA,Mississippi Valley State,UCLA,-15.0,36.99,17.21,0.382,705.0,1.0
2008,R64,Mississippi Valley State,UCLA,UCLA,15.0,-36.99,-17.21,-0.382,-705.0,0.0
2008,R64,BYU,Texas A&M,Texas A&M,-1.0,-4.379999999999999,-6.13,0.07700000000000007,35.0,0.0
2008,R64,Texas A&M,BYU,Texas A&M,1.0,4.379999999999999,6.13,-0.07700000000000007,-35.0,1.0
2008,R64,Drake,Western Kentucky,Western Kentucky,-7.0,4.74,3.91,0.041999999999999926,8.0,0.0
2008,R64,Western Kentucky,Drake,Western Kentucky,7.0,-4.74,-3.91,-0.041999999999999926,-8.0,1.0
2008,R64,UConn,San Diego,San Diego,-9.0,12.149999999999999,5.31,0.11599999999999999,221.0,0.0
2008,R64,San Diego,UConn,San Diego,9.0,-12.149999999999999,-5.31,-0.11599999999999999,-221.0,1.0
2008,R64,Purdue,Baylor,Purdue,-5.0,1.6399999999999988,0.15000000000000036,0.07899999999999996,40.0,1.0
2008,R64,Baylor,Purdue,Purdue,5.0,-1.6399999999999988,-0.15000000000000036,-0.07899999999999996,-40.0,0.0
2008,R64,Xavier,Georgia,Xavier,-11.0,9.930000000000001,-1.5600000000000005,0.31100000000000005,409.0,1.0
2008,R64,Georgia,Xavier,Xavier,11.0,-9.930000000000001,1.5600000000000005,-0.31100000000000005,-409.0,0.0
2008,R64,West Virginia,Arizona,West Virginia,-3.0,3.419999999999998,-3.0600000000000005,0.1439999999999999,250.0,1.0
2008,R64,Arizona,West Virginia,West Virginia,3.0,-3.419999999999998,3.0600000000000005,-0.1439999999999999,-250.0,0.0
2008,R64,Duke,Belmont,Duke,-13.0,21.64,12.719999999999999,0.08899999999999997,252.0,1.0
2008,R64,Belmont,Duke,Duke,13.0,-21.64,-12.719999999999999,-0.08899999999999997,-252.0,0.0
2008,R32,UCLA,Texas A&M,UCLA,-8.0,5.510000000000002,0.25,0.20300000000000007,235.0,1.0
