Region,Team_Name,Seed,Record,First_Round_Opponent,Opponent_Seed,Notes
EAST,Duke,1,32-2,Siena,16,#1 overall seed; PG Foster out with foot fracture
EAST,UConn,2,29-5,Furman,15,Strong program
EAST,Michigan St,3,28-6,N Dakota St,14,Solid tournament team
EAST,Kansas,4,25-8,CA Baptist,13,
EAST,St John's,5,27-8,Northern Iowa,12,Strong season
EAST,Louisville,6,25-10,South Florida,11,
EAST,UCLA,7,23-11,UCF,10,
EAST,Ohio State,8,26-8,TCU,9,
WEST,Arizona,1,32-2,Long Island,16,#2 overall seed
WEST,Purdue,2,32-3,Queens,15,Big Ten champion
WEST,Gonzaga,3,32-2,Kennesaw St,14,
WEST,Arkansas,4,27-7,Hawai'i,13,
WEST,Wisconsin,5,27-7,High Point,12,
WEST,BYU,6,28-6,TBD,11,
WEST,Miami,7,28-5,Missouri,10,
WEST,Villanova,8,25-9,Utah State,9,
SOUTH,Florida,1,26-7,TBD,16,Defending champion
SOUTH,Houston,2,32-2,Idaho,15,#3 overall seed equivalent
SOUTH,Illinois,3,28-5,Penn,14,
SOUTH,Nebraska,4,26-6,Troy,13,Seeking first tournament win
SOUTH,Vanderbilt,5,25-8,McNeese,12,
SOUTH,North Carolina,6,25-9,VCU,11,Missing star Wilson (broken thumb)
SOUTH,Saint Mary's,7,27-6,Texas A&M,10,
SOUTH,Clemson,8,27-7,Iowa,9,
MIDWEST,Michigan,1,31-3,TBD,16,#3 overall seed after losing Big Ten final
MIDWEST,Iowa State,2,29-4,Tennessee St,15,Strong program
MIDWEST,Virginia,3,27-7,Wright St,14,
MIDWEST,Alabama,4,27-8,Hofstra,13,
MIDWEST,Texas Tech,5,25-9,Akron,12,
MIDWEST,Tennessee,6,26-8,TBD,11,
MIDWEST,Kentucky,7,21-13,Santa Clara,10,
MIDWEST,Georgia,8,24-10,Saint Louis,9,
